"CREATIONDATE","OBJECTDESC","TITLE","CLOSEDDATETIME","CASECLOSUREREASONDESCRIPTION"
"2025-04-12 00:00:00","3329 N 88TH ST, MILWAUKEE, WI, 53222-3647","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-04-14 00:00:00","Brush and logs"
"2025-04-12 00:00:00","3500 N 15TH ST, MILWAUKEE, WI, 53206-2301","No Address on House and/or Garage","","There is no address to indicate the exact address on this property to make a complaint. Building code violations"
"2025-04-11 00:00:00","4727 N 36TH ST, MILWAUKEE, WI, 53209-5941","Vacant Property Left Unsecured/Open","","My tenant let me know there is someone living in her garage and needs them to be removed from the premises."
"2025-04-11 00:00:00","2189 N 51ST ST, MILWAUKEE, WI, 53208-1134","Other Animal Problem","","Dog is left out for hours every single morning beginning at 6am. It yaps/barks for hours and hours. There is no shelter for the dog that is visible. Daily, in the last week, between the morning hours of 6am-8:30 or 9am, the temperature has also be around 20-30 degrees. Not only is this animal cruelty, but it had been a constant base violation."
"2025-04-11 00:00:00","2648 N FARWELL AV, MILWAUKEE, WI, 53211-3701","Clogged Catch Basin/Surface Flooding","2025-04-11 00:00:00","Construction is discharging into the street causing major flooding"
"2025-04-11 00:00:00","3912 N 78TH ST, MILWAUKEE, WI, 53222-3098","Missed Collection: Recycling","","Can was out the night before collection day.  I’ve noticed over the years being the only home owner within the four houses around me that my cans tend to be missed or left in the middle of the alley and not put back where they grabbed it. Last time they put it with the neighbors cans and then wasn’t sure what can was mine.  Just would appreciate better service with collection."
"2025-04-11 00:00:00","7842 N 99TH ST, MILWAUKEE, WI, 53224-3338","Missed Collection: Recycling","2025-04-11 00:00:00","ASL Route. Out before 700am"
"2025-04-11 00:00:00","7842 N 99TH ST, MILWAUKEE, WI, 53224-3338","Collection Schedule - Garbage and Recycling","",""
"2025-04-11 00:00:00","7842 N 99TH ST, MILWAUKEE, WI, 53224-3338","INFO ONLY: Recycling Collection Day Information Request","2025-04-11 00:00:00",""
"2025-04-11 00:00:00","3330 N 45TH ST, MILWAUKEE, WI, 53216-3327","Scattered Litter and Debris on Private Property","2025-04-11 00:00:00","trash and debris"
"2025-04-11 00:00:00","7057 N 107TH ST, MILWAUKEE, WI, 53224-4301","Missed Collection: Recycling","2025-04-11 00:00:00","MISSED COLLECTION // REQUESTING A R CART PICK UP"
"2025-04-11 00:00:00","4912 S 27TH ST, MILWAUKEE, WI, 53221-2606","Missed Collection: Recycling","","carts were out but missed, neighbors missed as well"
"2025-04-11 00:00:00","227 E TOWNSEND ST, MILWAUKEE, WI, 53212-0000","Bulky Pickup & San Inspector Notification","","Furniture and debris at sidewalk"
"2025-04-11 00:00:00","4906 W LISBON AV","Potholes","","Sewer catch basin was reset recently and now has 4 deep depression that swallows up car wheels in the driving lane"
"2025-04-11 00:00:00","3137 N 51ST BL","Construction Concerns","","There has been a backfilled pit in the parking lane since February that is slowly depressing. They put a baracade over the hole, but should it not be actually filled in a timely manner?"
"2025-04-11 00:00:00","2871 N 33RD ST, MILWAUKEE, WI, 53210-1941","Bulky Pickup & San Inspector Notification","","DUMPING IN THE LOT OF A VACANT HOUSE"
"2025-04-11 00:00:00","1333 S LAYTON BL, MILWAUKEE, WI, 53215-1654","Zoning Violation","","Sewage located in the basement"
"2025-04-11 00:00:00","2100 W CLYBOURN ST, MILWAUKEE, WI, 53233-0000","Bulky Pickup & San Inspector Notification","","Caller states a semi was on fire last night and as a result, there is a block's length of shredded paper in the street on 21st and Clybourn."
"2025-04-11 00:00:00","4710 N 22ND ST, MILWAUKEE, WI, 53209-6335","Missed Collection: Garbage","2025-04-11 00:00:00","The night before collection at alley line"
"2025-04-11 00:00:00","2461 S 8TH ST, MILWAUKEE, WI, 53215-3230","Garbage Cart: No Cart","","duplex, no cart"
"2025-04-11 00:00:00","4578 N 76TH ST","Potholes","",""
"2025-04-11 00:00:00","2461 S 8TH ST, MILWAUKEE, WI, 53215-3230","Recycling Cart: No Cart","","duplex no cart"
"2025-04-11 00:00:00","2900 N 23RD ST, MILWAUKEE, WI, 53206-1647","Scattered Litter and Debris on Private Property","2025-04-11 00:00:00","SCATTERED DEBRIS."
"2025-04-11 00:00:00","3038 N 26TH ST, MILWAUKEE, WI, 53206-0000","Scattered Litter and Debris on Private Property","2025-04-11 00:00:00","DEBRIS THROUGHOUT."
"2025-04-11 00:00:00","2840 N 22ND ST, MILWAUKEE, WI, 53206-1641","Scattered Litter and Debris on Private Property","","DEBRIS THROUGHOUT."
"2025-04-11 00:00:00","2854 N 22ND ST, MILWAUKEE, WI, 53206-1641","Large Items Discarded on Private Property","","LARGE PILES OF BRUSH CAUSING RODENTS."
"2025-04-11 00:00:00","2970 N 23RD ST, MILWAUKEE, WI, 53206-1647","Large Items Discarded on Private Property","2025-04-11 00:00:00","MASSIVE DEBRIS."
"2025-04-11 00:00:00","2970 N 23RD ST, MILWAUKEE, WI, 53206-1647","Large Items Discarded on Private Property","","MASSIVE DEBRIS THROUGHOUT."
"2025-04-11 00:00:00","6133 W STEVENSON ST, MILWAUKEE, WI, 53213-4158","Backwater","2025-04-11 00:00:00","WATER COMING UP IN BASEMENT"
"2025-04-11 00:00:00","2871 N 28TH ST, MILWAUKEE, WI, 53210-2005","Scattered Litter and Debris on Private Property","","SCATTERED DEBRIS."
"2025-04-11 00:00:00","2503 N 44TH ST, MILWAUKEE, WI, 53210-2909","Scattered Litter and Debris on Private Property","2025-04-11 00:00:00","SCATTERED DEBRIS."
"2025-04-11 00:00:00","2831 N 28TH ST, MILWAUKEE, WI, 53210-2005","Large Items Discarded on Private Property","","LARGE SCATTERED DEBRIS ON PARKING SLAB."
"2025-04-11 00:00:00","3029 N 29TH ST, MILWAUKEE, WI, 53210-2023","Scattered Litter and Debris on Private Property","","SCATTERED DEBRIS CAUSING RODENTS."
"2025-04-11 00:00:00","3927 W VLIET ST, MILWAUKEE, WI, 53208-2851","Missed Collection: Garbage","","G-carts at collection point"
"2025-04-11 00:00:00","3892 N 44TH ST, MILWAUKEE, WI, 53216-2419","Garbage Supervisor Notification","","Caller requesting courtesy collection at duplex location is possible. Caller states both G-Carts are full with additional bags on the side. Caller states additional bags are 1CY."
"2025-04-11 00:00:00","341 N 39TH ST","Settlement","","It is on 39th just north of saint Paul. The blacktop is caving in  and the current depth of the possible sinkhole is over 6 inches deep. It is a serious problem for anyone who does not know its there. Motorcycles and bikes will find the area dangerous. Please look at it asap. Thanks"
"2025-04-10 00:00:00","1354 A E BOYLSTON ST, MILWAUKEE, WI, 53202-1600","Street Light Out","2025-04-11 00:00:00","street light out on corner"
"2025-04-10 00:00:00","513 S 74TH ST","Garbage Cart: Additional","","We had 2 cans since we moved in over 10 years ago. Last year one went missing, I requested a new one last year but evidently I put the wrong address. We are 3 adults and 2 teens, we go through some garbage."
"2025-04-10 00:00:00","3405 N HUMBOLDT BL, MILWAUKEE, WI, 53212-1701","Missed Collection: Recycling","2025-04-11 00:00:00",""
"2025-04-10 00:00:00","1712 E MORGAN AV, MILWAUKEE, WI, 53207-3659","Collection Schedule - Garbage and Recycling","",""
"2025-04-10 00:00:00","2029 S 1ST ST, MILWAUKEE, WI, 53207-0000","All Other Signs","","Caution, sign missing from beginning of raised curb. Dangerous obstacle without marking."
"2025-04-10 00:00:00","3440 S CHASE AV, MILWAUKEE, WI, 53207-3348","Collection Schedule - Garbage and Recycling","",""
"2025-04-10 00:00:00","305 S 77TH ST, MILWAUKEE, WI, 53214-1406","Garbage Supervisor Notification","2025-04-11 00:00:00","ASL Route. Caller will have a cushion chair out tomorrow for garbage collection"
"2025-04-10 00:00:00","5384 N 103RD ST, MILWAUKEE, WI, 53225-3202","Potholes","","many potholes on entire street"
"2025-04-10 00:00:00","5412 N 103RD ST, MILWAUKEE, WI, 53225-3203","Potholes","",""
"2025-04-10 00:00:00","1580 W RAMSEY AV, MILWAUKEE, WI, 53221-5031","Collection Schedule - Garbage and Recycling","",""
"2025-04-10 00:00:00","4467 N 85TH ST, MILWAUKEE, WI, 53225-5141","Recycling Cart Collection Request: Cart Not at Collection Point","","cart not out on tues, request courtesy"
"2025-04-10 00:00:00","2614 N 1ST ST, MILWAUKEE, WI, 53212-2807","Garbage Cart: No Cart","2025-04-11 00:00:00","2 unit."
"2025-04-10 00:00:00","2612 N 1ST ST, MILWAUKEE, WI, 53212-2807","INFO ONLY: Garbage Collection Day Information Request","2025-04-10 00:00:00",""
"2025-04-10 00:00:00","2870 S 35TH ST","Potholes","","Northbound traffic"
"2025-04-10 00:00:00","5915 N 71ST ST, MILWAUKEE, WI, 53218-1821","Zoning Violation","2025-04-10 00:00:00","Tire dumping at property. Conduct knock and talk with MPD."
"2025-04-10 00:00:00","5917 N 64TH ST, MILWAUKEE, WI, 53218-1921","Zoning Violation","2025-04-10 00:00:00","Tire dumping at property. Complete knock and talk with MPD."
"2025-04-10 00:00:00","2357 N 57TH ST, MILWAUKEE, WI, 53210-2202","Parking Enforcement X8350 Internal Transfer","2025-04-10 00:00:00",""
"2025-04-10 00:00:00","421 E LOCUST ST, MILWAUKEE, WI, 53212-0000","Scattered Litter and Debris on Private Property","","ENF-2025-09601 COMPLAINT MARKED AS NO VIOLATION. INSPECTOR PHOTO SHOWS LITTER. LITTER IS STREWN ON THE ENTIRE CORNER OF THIS LOT ON HOLTON AND LOCUST MARKED AS NO VIOLATION AFTER 16 DAYS. LOT HAS BEEN AN ISSUE ON THIS CORNER FOR THE LAST COUPLE OF YEARS WHEN OWNED BY HOUSING AUTHORITY. NOW OWNED BY PRIVATE ENTITY"
"2025-04-09 00:00:00","2857 N HUBBARD ST, MILWAUKEE, WI, 53212-2432","Garbage Cart: Missing","2025-04-09 00:00:00","This is a three unit dwelling one of the carts is missing ,also there is damage to a lid on one of the carts plus rodent holes please repair or replace as needed Thank You"
"2025-04-09 00:00:00","3711 N 48TH ST, MILWAUKEE, WI, 53216-2907","Parking on Unapproved Surface, Private Property","","White vehicle illegally parked on the front lawn of the listed residence for almost 2 weeks."
"2025-04-09 00:00:00","3639 W BECHER ST, MILWAUKEE, WI, 53215-2324","Missed Collection: Recycling","2025-04-10 00:00:00","Schedule showed yesterday, 2 other neighbors also still have bins out"
"2025-04-09 00:00:00","1625 N 38TH ST, MILWAUKEE, WI, 53208-1815","Zoning Violation","2025-04-09 00:00:00","MPD conducting search warrant. Inspect for code compliance."
"2025-04-08 00:00:00","3637 W OHIO AV, MILWAUKEE, WI, 53215-4109","Missed Collection: Garbage","2025-04-08 00:00:00","Garbage was set by the street on 4/7/25. But got missed because my can is still filled. Can we please have someone come and empty my can so I keep filling with new garbage throughout my week asap. Please let me know if the spot I have the can is where the city of milwaukee needs it to be for it to be picked up? I'm new to this property but didn't have any issues last round of pickup."
"2025-04-08 00:00:00","1808 S 30TH ST, MILWAUKEE, WI, 53215-2126","Potholes","","We have multiple potholes, especially in front of 1752 S 30th St, where there are about 15-20 potholes right before the speed bump."
"2025-04-08 00:00:00","3135 W BURNHAM ST, MILWAUKEE, WI, 53215-2114","Scattered Litter and Debris on Private Property","2025-04-09 00:00:00","SCATTERED TRASH AND BAGS BEHIND PROPERTY."
"2025-04-08 00:00:00","1929 S 12TH ST, MILWAUKEE, WI, 53204-3829","Scattered Litter and Debris on Private Property","2025-04-09 00:00:00","SCATTERED STYROFOAM BEHIND PROPERTY."
"2025-04-08 00:00:00","3957 N 81ST ST, MILWAUKEE, WI, 53222-2931","Potholes","","on 81st from Capitol to Vienna. Small potholes needed to be filled"
"2025-04-08 00:00:00","301 S 70TH ST","Potholes","2025-04-09 00:00:00","both lanes need repair"
"2025-04-08 00:00:00","417 S 72ND ST","Potholes","2025-04-09 00:00:00","Potholes are in the the west entrance to our alley"
"2025-04-08 00:00:00","8950 N 86TH ST, MILWAUKEE, WI, 53224-2106","Collection Schedule - Garbage and Recycling","",""
"2025-04-08 00:00:00","8952 N 86TH ST, MILWAUKEE, WI, 53224-2106","Collection Schedule - Garbage and Recycling","",""
"2025-04-08 00:00:00","8952 N 86TH ST, MILWAUKEE, WI, 53224-2106","INFO ONLY: Garbage Collection Day Information Request","2025-04-08 00:00:00",""
"2025-04-08 00:00:00","7146 W APPLETON AV, MILWAUKEE, WI, 53216-1931","Pothole in Alley","","The whole alley is full of potholes."
"2025-04-08 00:00:00","8800 N 107TH ST","Potholes","2025-04-09 00:00:00","most between Brown Deer and railroad tracks on southbound side."
"2025-04-07 00:00:00","6956 W MORGAN AV, MILWAUKEE, WI, 53220-1215","Rats or Rat Harborage","","Rats crossing through.  Coming from neighbors"
"2025-04-07 00:00:00","6956 W MORGAN AV, MILWAUKEE, WI, 53220-1215","Rats or Rat Harborage","","Rat activity"
"2025-04-07 00:00:00","2503 N 61ST ST, MILWAUKEE, WI, 53213-1559","Street Light Cycling","2025-04-08 00:00:00","NW corner N 61st and Wright streets     street light is cycling"
"2025-04-07 00:00:00","3522 N 92ND ST, MILWAUKEE, WI, 53222-2602","No Mow May Registration","",""
"2025-04-07 00:00:00","3206 N 81ST ST, MILWAUKEE, WI, 53222-3812","Potholes","2025-04-08 00:00:00","several potholes  one large in the intersection of 80th and Auer.  Also on Auer in front of alley entrance between 80th and 81st Street 4"
"2025-04-07 00:00:00","1300 W LAYTON AV, MILWAUKEE, WI, 53221-2875","Miscellaneous Street Maintenance Request","","GRAVEL FROM A CEMENT TRUCK WAS SPILL ON THE ROAD. BLOCK LONG"
"2025-04-07 00:00:00","9006 W LAWRENCE AV, MILWAUKEE, WI, 53225-5039","Garbage Cart: Missing","2025-04-08 00:00:00","I had 2 carts 1 was damaged and taken on curbside collection day. I assumed they were going to replace it and never brought a new one. I would like to have my missing cart replaced."
"2025-04-07 00:00:00","1400 W DAKOTA ST, MILWAUKEE, WI, 53215-3850","Missed Collection: Recycling","2025-04-07 00:00:00",""
"2025-04-07 00:00:00","6170 N 118TH ST, MILWAUKEE, WI, 53225-1111","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-04-08 00:00:00","Recent ash tree that had fallen over. Brush trimmed to City of Milwaukee requirements."
"2025-04-07 00:00:00","2512 W MORGAN AV, MILWAUKEE, WI, 53221-1441","Potholes","",""
"2025-04-07 00:00:00","2028 N NEWHALL ST, 1, MILWAUKEE, WI, 53202-1025","Potholes","","This minefield of potholes is ridiculous. How is this not taken care of better and properly"
"2025-04-07 00:00:00","103 N 78TH ST, MILWAUKEE, WI, 53213-3423","City-Owned Vacant Lot Cleanup","2025-04-08 00:00:00","People in my neighborhood continue to illegally dump in the empty lot south of 103 n 78th st and west of pius high schools parking lot. I just got caught someone this weekend. A illegal dumping sign should be put up after the waste is cleaned up."
"2025-04-07 00:00:00","3781 N 60TH ST, MILWAUKEE, WI, 53216-0000","Bulky Pickup & San Inspector Notification","","Request for furniture to be picked up/disposed of (recliner chair & sectional); made this request originally Monday, March 31st and would like to understand if this request has been received and will be processed.
Thank you."
"2025-04-07 00:00:00","3449 S 91ST ST, MILWAUKEE, WI, 53227-4409","Street Light Cycling","2025-04-08 00:00:00","On 91st at the end of W Verona, week now"
"2025-04-07 00:00:00","6806 W VILLARD AV, MILWAUKEE, WI, 53218-3936","Branches or Bushes Encroaching Alley","2025-04-07 00:00:00","THERE ARE OVERGROWN BRANCHES GROWNING INTO THE ALLEY REAR OF THE LOCATION"
"2025-04-07 00:00:00","5931 N 121ST ST, MILWAUKEE, WI, 53225-2130","INFO ONLY: Garbage Collection Day Information Request","2025-04-07 00:00:00",""
"2025-04-07 00:00:00","305 S 77TH ST, MILWAUKEE, WI, 53214-1406","INFO ONLY: Garbage Disposal Info Request","2025-04-07 00:00:00",""
"2025-04-07 00:00:00","5931 N 121ST ST, MILWAUKEE, WI, 53225-2130","INFO ONLY: Recycling Collection Day Information Request","2025-04-07 00:00:00","confirmed schedule request entered"
"2025-04-07 00:00:00","2164 N 29TH ST, MILWAUKEE, WI, 53208-1527","Collection Schedule - Garbage and Recycling","","MAIL OUT A SCHEDULE"
"2025-04-06 00:00:00","1939 S KINNICKINNIC AV, MILWAUKEE, WI, 53204-4030","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Please remove leaves and other debris from sidewalk under the train bridge and north and south of the bridge.  An individual has been witnessed in the past igniting the leaves potentially creating a safety hazard."
"2025-04-06 00:00:00","8217 W MARION ST, MILWAUKEE, WI, 53222-1945","Street Light Cycling","2025-04-07 00:00:00","Street light flickers and goes out for a long period of time. Area isn’t well lit at all with this light being out."
"2025-04-06 00:00:00","1559 N PROSPECT AV, 108, MILWAUKEE, WI, 53202-2367","Street Light Out","2025-04-07 00:00:00","this stretch of prospect is out"
"2025-04-06 00:00:00","5910 W FOREST HOME AV","Street Light Out","2025-04-06 00:00:00","bulb is worn out, dim and not lighting anything around it, please replace with a new lamp so that it is bright again, thank you"
"2025-04-06 00:00:00","6031 R W HOWARD AV","Tot Lot Needs Maintenance - City-Maintained Only","2025-04-07 00:00:00","swings make loud sqeaking noise, needs some WD-40, please maintain this soon"
"2025-04-06 00:00:00","2006 E LAFAYETTE PL","Potholes","2025-04-07 00:00:00","The hole is taking up the entirety of one side of the road. There was a previous attempt at filling it but the hole has stayed and persisted in depth."
"2025-04-06 00:00:00","1225 E OGDEN AV","Area Dark","2025-04-07 00:00:00","The street lights for the block surrounding BURNS COMMONS along with the turnaround for
THE HOP are dark.

This is the 5th night in one week that the lights have been out!"
"2025-04-06 00:00:00","2783 S HOWELL AV","Special Pickup - Accident Debris","","VEHICLE ACCIDENT DEBRIS AND PEDESTRIAN CROSSWALK SIGN DOWN"
"2025-04-06 00:00:00","2018 S 12TH ST, MILWAUKEE, WI, 53204-3830","Condemnation Candidate","2025-04-06 00:00:00","Fire damage with interior violations"
"2025-04-06 00:00:00","5804 W BLUE MOUND RD","Bump in City Street or Alley","","Bump at the intersection of Hawley and Blue mound. Bump is in the northbound lane of Hawley on the north side of the intersection."
"2025-04-06 00:00:00","5525 W NOTRE DAME CT","Potholes","","The centerline of W. Notre Dame Court east of Hawley Road is riddled with potholes down the center of the road. Could use repair or crack filler."
"2025-04-06 00:00:00","2916 N 82ND ST, MILWAUKEE, WI, 53222-4816","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Brush at curb"
"2025-04-06 00:00:00","10213 W TERRA AV, MILWAUKEE, WI, 53224-2600","Garbage Cart: Damaged","2025-04-07 00:00:00","Both carts are extremely damaged."
"2025-04-06 00:00:00","3350 N BARTLETT AV, MILWAUKEE, WI, 53211-3024","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-04-08 00:00:00","Bagged leaves"
"2025-04-06 00:00:00","215 N 50TH ST, MILWAUKEE, WI, 53208-3631","Clogged Catch Basin/Surface Flooding","2025-04-08 00:00:00","Catch basin is filled with leaves. This results in rain water pooling at the south end of North 50th where it meets North Story Parkway."
"2025-04-06 00:00:00","263 N 50TH ST, MILWAUKEE, WI, 53208-3631","Clogged Catch Basin/Surface Flooding","2025-04-08 00:00:00","Catch basin is filled with leaves. This results in water pooling at the south end of North 50th where it meets North Story Parkway."
"2025-04-06 00:00:00","325 N 50TH ST, MILWAUKEE, WI, 53208-3633","Clogged Catch Basin/Surface Flooding","2025-04-08 00:00:00","Catch basin is filled with leaves. This results in water pooling at the south end of North 50th where it meets North Story Parkway."
"2025-04-06 00:00:00","3369 N 48TH ST, MILWAUKEE, WI, 53216-3345","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-04-08 00:00:00","Some brush for pick up please"
"2025-04-06 00:00:00","2628 N 30TH ST, MILWAUKEE, WI, 53210-0000","Dogs At Large","2025-04-07 00:00:00","This property or the upper unit (2630) is breeding pit bulls.  The owners walk many unleashed pit bulls at once down the street."
"2025-04-06 00:00:00","3375 N 48TH ST, MILWAUKEE, WI, 53216-3345","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Brush to pick up please"
"2025-04-06 00:00:00","5122 N 39TH ST, MILWAUKEE, WI, 53209-5346","Garbage Cart: Additional","2025-04-07 00:00:00","Need an additional cart per unit at my house. House is a duplex."
"2025-04-06 00:00:00","3971 S 56TH ST","Area Dark","2025-04-06 00:00:00","ALL OF 56TH ST LIGHTS ARE OUT, ONLY 2 LIGHTS ARE ON AND FUNCTIONING PROPERLY. SUSPECTED WE ENRGIES CONTRACTOR HIT UNDERGROUND LINES OR WATER DAMAGE, FUSES WERE INSTALLED SO ONLY THIS BLOCK IS OUT, PLEASE FIX THIS ISSUE ASAP, THANK YOU"
"2025-04-06 00:00:00","5910 W FOREST HOME AV","Other Miscellaneous Electrical Services Request","2025-04-06 00:00:00","BULB DYING, VERY DIM, NOT BRIGHT AND DOESNT SHINE TO ROAD AT ALL, PLEASE REPLACE LAMP OR FIXTURE TO LED, THANKS"
"2025-04-06 00:00:00","3021 S 61ST ST, MILWAUKEE, WI, 53219-3038","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-04-07 00:00:00",""
"2025-04-06 00:00:00","221 N STORY PK, MILWAUKEE, WI, 53208-3619","Clogged Catch Basin/Surface Flooding","","Catch basin is filled to top with leaves. When it rains, there are large pools of water at the corner of North Pinecrest Street and North Story Parkway, northeast corner at curb."
"2025-04-06 00:00:00","1113 S 3RD ST, MILWAUKEE, WI, 53204-2414","Area Dark","2025-04-06 00:00:00","The street lights on South 3rd Street from Scott to possibly mineral Street has been out for multiple days"
"2025-04-06 00:00:00","135 E KILBOURN AV, MILWAUKEE, WI, 53202-0000","Street Light Out","","Several streetlights out - intersection of Kilbourn and Water St."
"2025-04-06 00:00:00","1312 W SCOTT ST, MILWAUKEE, WI, 53204-2231","Potholes","2025-04-07 00:00:00","null"
"2025-04-06 00:00:00","633 E MASON ST","Settlement","","In front of driveway at 316 n 59th st."
"2025-04-06 00:00:00","3929 S 6TH ST, MILWAUKEE, WI, 53221-1756","Alderperson Street Maintenance Request","","Via Ald. Spiker's Office: Multiple potholes throughout intersection of S 6th St and W Howard Av"
"2025-04-06 00:00:00","1123 S 3RD ST, MILWAUKEE, WI, 53204-2414","Street Light Out","2025-04-06 00:00:00","Street lights have been out for more than 3 days. Street is pitch Black"
"2025-04-06 00:00:00","2988 S KINNICKINNIC AV","Potholes","",""
"2025-04-06 00:00:00","4067 S BURRELL ST, MILWAUKEE, WI, 53207-4464","Area Dark","","The streetlamp lights are broken, and it's completely dark."
"2025-04-06 00:00:00","7810 W WARNIMONT AV, MILWAUKEE, WI, 53220-1010","Area Dark","2025-04-06 00:00:00","3rd night that all lights are out"
"2025-04-06 00:00:00","529 S 2ND ST","Exterior of Building in Disrepair","","Approximate address:  529 S 2nd St, Milwaukee, WI 53204.

Building is on the east side of 2nd St, bordering on the parking lot at on the corner of S. 2nd and W. Bruce Streets.

Building is a two story brick.  Bricks are falling onto the sidewalk from the northeast corner of the building.  Netting on same corner is frayed and poses a hazard to passing pedestrian traffic."
"2025-04-06 00:00:00","9912 W SARASOTA PL, MILWAUKEE, WI, 53222-1459","Recycling Cart: New Customer","","Has a hole in it. Sharp"
"2025-04-06 00:00:00","6350 W EUCLID AV, MILWAUKEE, WI, 53219-4232","Missed Collection: Recycling","2025-04-07 00:00:00","can is over flowing"
"2025-04-06 00:00:00","10950 W GOOD HOPE RD, MILWAUKEE, WI, 53224-3622","Potholes","","Huge pothole in the middle lane right before the bridge"
"2025-04-05 00:00:00","1200 N VAN BUREN ST, MILWAUKEE, WI, 53202-2607","All Other Signs","","actual address is odd side of 1200 N. Juneau Ave...there are 2hr signs that read Monday thru Friday and also signs that read Monday thru Sat? Can we please adjust signage? thank you peo #984!"
"2025-04-05 00:00:00","4487 N SHERMAN BL, MILWAUKEE, WI, 53209-5851","Potholes","","Fairly large and deep, Left lane Southbound Sherman, near intersection with Ruby"
"2025-04-05 00:00:00","3403 N CRAMER ST, MILWAUKEE, WI, 53211-2816","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","8 yard waste bags in alley"
"2025-04-05 00:00:00","449 E MORGAN AV, MILWAUKEE, WI, 53207-3309","Potholes","","Pot hole in the middle of the street, right by the man hole cover"
"2025-04-05 00:00:00","250 W HOLT AV, MILWAUKEE, WI, 53207-0000","Settlement","","A large area on the north side of the street ( at the stop lights in front of pick n save) has sunk in quite a bit since it had been filled."
"2025-04-05 00:00:00","3500 W FOREST HOME AV, MILWAUKEE, WI, 53215-0000","Potholes","","Multiple potholes in intersection.  One is in the crosswalk on the southbound lane of 35th st."
"2025-04-05 00:00:00","3811 W LINCOLN AV, MILWAUKEE, WI, 53215-2338","Roots Lifting Sidewalk","","Near tow truck entrance"
"2025-04-05 00:00:00","3142 S CLEMENT AV, MILWAUKEE, WI, 53207-2836","Garbage Cart: Missing","","Our garbage can went missing after pick up this week. We've looked up and down our alley and have not found it. We are requesting a new one. Thank you!"
"2025-04-05 00:00:00","4231 S PINE AV, MILWAUKEE, WI, 53207-5137","Brush Pickup Request, Less than 2 Cubic Yards, April-November","",""
"2025-04-05 00:00:00","4358 N 19TH PL, MILWAUKEE, WI, 53209-6836","Bulky Pickup & San Inspector Notification","",""
"2025-04-05 00:00:00","3210 S NEW YORK AV, MILWAUKEE, WI, 53207-3040","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Pine trimmings, grape vine and paper bags of leaves and pine needles"
"2025-04-05 00:00:00","10855 W PARK PL, 3","Potholes","",""
"2025-04-05 00:00:00","8760 N 107TH ST","Potholes","",""
"2025-04-05 00:00:00","8401 N 106TH ST","Potholes","2025-04-07 00:00:00",""
"2025-04-05 00:00:00","4023 S 71ST ST, MILWAUKEE, WI, 53220-2303","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-04-07 00:00:00","Brush Pickup"
"2025-04-05 00:00:00","8550 N GRANVILLE RD","Potholes","",""
"2025-04-05 00:00:00","8543 W FAIRY CHASM DR","Potholes","",""
"2025-04-05 00:00:00","8648 N GRANVILLE RD","Potholes","",""
"2025-04-05 00:00:00","4478 N 46TH ST, MILWAUKEE, WI, 53218-5250","Garbage Cart Not Returned to Storage Location","","at 4478 garbage cart never returned to storagepoint"
"2025-04-05 00:00:00","4451 N 53RD ST, MILWAUKEE, WI, 53218-5711","No Mow May Registration","",""
"2025-04-05 00:00:00","7729 W LORRAINE PL, MILWAUKEE, WI, 53222-5039","Plant City Tree","","Hi! Wondering if it would be possible to have a couple of trees planted along the city strip of land along my property. Hoping that a tree or two could be planted along the west side of my property along 78th street. Please let me know if additional info is needed."
"2025-04-05 00:00:00","4246 W CAPITOL DR","Miscellaneous Street Maintenance Request","","Accident debris"
"2025-04-05 00:00:00","1100 W BIRCH AV, MILWAUKEE, WI, 53209-5115","Miscellaneous Sewers Request","","Tree roots in sewer line causing slow and clogged drains."
"2025-04-05 00:00:00","3023 N NEWHALL ST, MILWAUKEE, WI, 53211-3227","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Yew branches"
"2025-04-05 00:00:00","2560 S 64TH ST, MILWAUKEE, WI, 53219-2629","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-04-07 00:00:00","Brush pile. Some rose brush as well."
"2025-04-05 00:00:00","332 E ROSEDALE AV","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Brush pile is next to street light"
"2025-04-05 00:00:00","7303 W GEORGIA AV, MILWAUKEE, WI, 53220-1113","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Brush"
"2025-04-05 00:00:00","2500 N FRATNEY ST, B, MILWAUKEE, WI, 53212-2949","Construction Concerns","","This street issue wasn’t repaired last year and now it looks like this."
"2025-04-05 00:00:00","3459 W FOREST HOME AV, MILWAUKEE, WI, 53215-3531","Potholes","","Potholes at cross walk northwest corner, south bound lanes"
"2025-04-05 00:00:00","2756 S 45TH ST, MILWAUKEE, WI, 53219-3204","Street Light Out","2025-04-06 00:00:00","Street light out"
